Radius,Mass,Period,SemiMajorAxis,EqTemp,Density,StarTemp,StarLum,StarMet,Insolation,Target_Habitable,Habitability_Score,Log_Period,Star_Type_G,Star_Type_K,Star_Type_M,Star_Type_Other
2.43,5403.11,1675.0,2.9,912.0,1.527272,5550.0,-0.10297,0.02,62.3,0,0.11795592207881407,7.424165281042028,False,False,False,True
14.5717,718.2958,2.72474,0.0417,912.0,1.36,6200.0,-0.10297,0.0,62.3,0,0.03818670669841595,1.314997050737765,False,False,False,False
4.88,12.2,9.75598,0.092,885.0,0.249,5939.0,-0.10297,0.17,62.3,0,0.04882303374324132,2.375461878977593,True,False,False,False
11.77,889.9,3.6313,0.048,1660.0,3.0,5900.0,-0.10297,0.05,62.3,0,0.0028511280473324033,1.5328376062253037,True,False,False,False
3.7,5.7,5.1134,0.056,1070.0,0.9,4950.0,-0.10297,0.3,62.3,0,0.04446402601202192,1.8104830832261576,False,True,False,False
5.0,28.0,11.759,0.098,850.0,1.3,4950.0,-0.10297,0.3,62.3,0,0.053464081586252286,2.5462369049396063,False,True,False,False
12.11,85.81,4.86069,0.0578,1330.0,0.15,6040.0,-0.10297,-0.01,62.3,0,0.008949922178833543,1.7682673440975085,False,False,False,False
14.12,165.26,4.20474,0.0526,1600.0,0.28,5590.0,-0.10297,0.01,62.3,0,0.0035035550659158515,1.6495697488500307,True,False,False,False
11.287,3302.11,3.57532,0.0476,1500.0,12.6,5900.0,-0.10297,-0.1,62.3,0,0.004968402032169478,1.5206766416366135,True,False,False,False
10.704595,153.82972,5.20851,0.0603,912.0,0.69,5150.0,-0.10297,0.15,62.3,0,0.03820661551202067,1.8259209315684775,True,False,False,False
10.0881,270.1555,2.85057,0.0386,912.0,1.45,5260.0,-0.10297,0.2,62.3,0,0.03822394885408414,1.3482211892891367,False,True,False,False
11.32,6883.91,4.2568,0.115,912.0,26.4,6740.0,-0.10297,0.02,62.3,0,0.038197270369322654,1.659522476601521,False,False,False,False
11.309881,921.707,9.06005,0.0844,912.0,3.45,5650.0,-0.10297,0.02,62.3,0,0.038197382131911664,2.3085721348381685,True,False,False,False
16.36514,266.9772,4.62941,0.0586,912.0,0.33,5700.0,-0.10297,0.0,62.3,0,0.038186352106442105,1.7280046409230196,True,False,False,False
6.38913,47.6745,6.71837,0.071,938.0,1.1,5970.0,-0.1549,0.0,132.26,0,0.036411921688064265,2.0436032018471457,True,False,False,False
18.83108758,349.6112477,3.22748,0.0429,1747.0,0.29,6390.0,-0.10297,-0.5,62.3,0,0.0021025977979666987,1.4416060708509626,False,False,False,False
15.80466279,216.12331676,5.616531,0.066,1567.0,0.25,6730.0,-0.10297,-0.1,62.3,0,0.003928282570358359,1.8895712144765469,False,False,False,False
13.34,228.83,9.20205,0.09,1074.0,0.525,6190.0,-0.10297,0.02,62.3,0,0.021759344998690866,2.3225886804885287,False,False,False,True
15.558,148.42,4.0378962,0.04947,1438.0,0.217,6100.0,-0.10297,-0.25,62.3,0,0.006147916471955006,1.616988574304112,False,False,False,False
13.068,940.74,8.886593,0.0855,1017.0,2.32,6090.0,-0.10297,-0.2,62.3,0,0.026521749670990222,2.291179596901307,False,False,False,False
1.68135,4.07660518,0.85359163,0.115,912.0,1.527272,5275.0,-0.10297,0.05,62.3,0,0.20683078828854784,0.6171251785885016,False,False,False,True
2.43,8.4,3.698,0.046,912.0,1.527272,5256.0,-0.28938,0.06,62.3,0,0.11795592207881407,1.547136886236721,False,False,False,True
2.43,17.142,8.966,0.115,912.0,1.527272,5250.0,-0.10297,0.02,62.3,0,0.11795592207881407,2.2991792998592127,True,False,False,False
6.39,69.92,6.21229,0.063,912.0,1.6,5080.0,-0.10297,0.3,62.3,0,0.03970693910947428,1.9757865152924847,False,True,False,False
11.948794,266.9772,95.272656,0.4021,420.0,0.86,5625.0,-0.10297,-0.01,62.3,0,0.21078474712976367,4.5671843324817045,False,False,False,True
2.43,3823.27330161,4098.1,5.75,912.0,1.527272,5550.0,-0.10297,0.02,62.3,0,0.11795592207881407,8.318522716400949,False,False,False,True
2.43,9057.77,246.36,0.36,912.0,1.527272,5550.0,-0.10297,0.02,62.3,0,0.11795592207881407,5.5108447653990575,False,False,False,True
2.43,3496.0,11.12522242,330.0,912.0,1.527272,5550.0,-0.10297,0.02,62.3,0,0.11795592207881407,2.495287780572825,False,False,True,False
2.43,24.27,18.57,0.1462,877.0,1.527272,6196.0,-0.10297,0.02,62.3,0,0.12289038133270584,2.9739977814079848,False,False,False,False
2.43,9.6,6.584,0.0733,1239.0,1.527272,6196.0,-0.10297,0.02,62.3,0,0.09203844323298299,2.026040764952721,False,False,False,False
2.43,3.35,2.882,0.0422,1632.0,1.527272,6196.0,-0.10297,0.02,62.3,0,0.08290416159841657,1.3563504847468186,False,False,False,False
2.43,4.13,5.516,0.0651,1314.0,1.527272,6196.0,-0.10297,0.02,62.3,0,0.08922557956448919,1.8742606907397987,False,False,False,False
2.43,138.89171,5.2072,0.0664,1000.0,1.527272,6500.0,0.1038,0.02,62.3,0,0.10790200786295573,1.8257099085976025,False,False,False,False
2.43,2.58,6.6732,0.0662,854.0,1.527272,5138.0,-0.10297,0.18,62.3,0,0.1264752940251971,2.037733738280046,False,True,False,False
2.43,12.2,3.4982,0.04853,912.0,1.527272,6400.0,0.45939,-0.007,62.3,0,0.11795592207881407,1.5036773167549344,False,False,False,False
2.43,1922.79,10220.0,8.19,912.0,1.527272,5550.0,-0.10297,0.02,62.3,0,0.11795592207881407,9.232199706329077,False,False,False,True
